,artist,name
1,Froukje,Naar Het Licht
2,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]"
12,Sufjan Stevens,Will Anybody Ever Love Me?
16,Lana Del Rey,Say Yes To Heaven
20,Goldband,Rommel
30,Grian Chatten,Fairlies
31,The Last Dinner Party,Nothing Matters
33,Mitski,My Love Mine All Mine
35,Queens of the Stone Age,Paper Machete
39,Sef,Land Dat Niet Bestaat
44,SZA,Kill Bill
46,Dua Lipa,Houdini
47,DI-RECT,OMG It's Happening
48,Prins S. en De Geit,De Duck
60,"Chibi Ichigo, Sophie Straat",ENERGIE
62,Linkin Park,Lost
69,The National,Deep End (Paul’s in Pieces)
72,"cassö, RAYE, D-Block Europe",Prada
87,philine,needy as hell
92,"Skrillex, Fred again.., Flowdan",Rumble
94,Jessie Ware,Begin Again
